"date","lvl","n"
2016-01-23,"76-100",44025
2016-01-23,"101-125",25590
2016-01-23,"126-150",17345
2016-01-23,"151-175",6539
2016-01-23,"176-200",4299
2016-01-23,"201-225",2976
2016-01-23,"226-250",2459
2016-01-23,"251-275",147
2016-01-23,"276-300",153
2016-01-23,"301-325",150
2016-01-23,"326-350",121
2016-01-23,"351-375",135
2016-01-23,"376-400",45
2016-01-23,"401-425",0
2016-01-23,"426-450",0
2016-01-23,"451-475",0
2016-01-23,"476-500",0
2016-01-23,"501-525",0
2016-01-24,"1-25",71281
2016-01-24,"26-50",119468
2016-01-24,"51-75",57887
2016-01-24,"76-100",45124
2016-01-24,"101-125",26413
2016-01-24,"126-150",17789
2016-01-24,"151-175",6757
2016-01-24,"176-200",4479
2016-01-24,"201-225",3095
2016-01-24,"226-250",2658
2016-01-24,"251-275",157
2016-01-24,"276-300",160
2016-01-24,"301-325",142
2016-01-24,"326-350",127
2016-01-24,"351-375",146
2016-01-24,"376-400",90
2016-01-24,"401-425",0
2016-01-24,"426-450",0
2016-01-24,"451-475",0
2016-01-24,"476-500",0
2016-01-24,"501-525",0
2016-01-25,"1-25",64404
2016-01-25,"26-50",117156
2016-01-25,"51-75",57396
2016-01-25,"76-100",45472
2016-01-25,"101-125",26888
2016-01-25,"126-150",17958
2016-01-25,"151-175",6960
2016-01-25,"176-200",4585
2016-01-25,"201-225",3250
2016-01-25,"226-250",2781
2016-01-25,"251-275",151
2016-01-25,"276-300",149
2016-01-25,"301-325",146
2016-01-25,"326-350",131
2016-01-25,"351-375",116
2016-01-25,"376-400",130
2016-01-25,"401-425",0
2016-01-25,"426-450",0
2016-01-25,"451-475",0
2016-01-25,"476-500",0
2016-01-25,"501-525",0
2016-01-26,"1-25",63696
2016-01-26,"26-50",117800
2016-01-26,"51-75",58173
2016-01-26,"76-100",45795
2016-01-26,"101-125",27453
2016-01-26,"126-150",18092
2016-01-26,"151-175",7049
2016-01-26,"176-200",4865
2016-01-26,"201-225",3353
2016-01-26,"226-250",2894
2016-01-26,"251-275",155
2016-01-26,"276-300",160
2016-01-26,"301-325",149
2016-01-26,"326-350",121
2016-01-26,"351-375",114
2016-01-26,"376-400",130
2016-01-26,"401-425",0
2016-01-26,"426-450",0
2016-01-26,"451-475",0
2016-01-26,"476-500",0
2016-01-26,"501-525",0
2016-01-27,"1-25",62164
2016-01-27,"26-50",118346
2016-01-27,"51-75",58384
2016-01-27,"76-100",46429
2016-01-27,"101-125",27884
2016-01-27,"126-150",18361
2016-01-27,"151-175",7143
2016-01-27,"176-200",5041
2016-01-27,"201-225",3419
2016-01-27,"226-250",3027
2016-01-27,"251-275",168
2016-01-27,"276-300",154
2016-01-27,"301-325",162
2016-01-27,"326-350",115
2016-01-27,"351-375",96
2016-01-27,"376-400",132
2016-01-27,"401-425",0
2016-01-27,"426-450",0
2016-01-27,"451-475",0
2016-01-27,"476-500",0
2016-01-27,"501-525",0
2016-01-28,"1-25",59709
2016-01-28,"26-50",117356
2016-01-28,"51-75",58556
2016-01-28,"76-100",46529
2016-01-28,"101-125",28327
2016-01-28,"126-150",18455
2016-01-28,"151-175",7315
2016-01-28,"176-200",5266
2016-01-28,"201-225",3510
2016-01-28,"226-250",3174
2016-01-28,"251-275",178
2016-01-28,"276-300",179
2016-01-28,"301-325",149
2016-01-28,"326-350",120
2016-01-28,"351-375",74
2016-01-28,"376-400",132
2016-01-28,"401-425",0
2016-01-28,"426-450",0
2016-01-28,"451-475",0
2016-01-28,"476-500",0
2016-01-28,"501-525",0
2016-01-29,"1-25",60125
2016-01-29,"26-50",116621
2016-01-29,"51-75",58633
2016-01-29,"76-100",46692
2016-01-29,"101-125",28788
2016-01-29,"126-150",18480
2016-01-29,"151-175",7331
2016-01-29,"176-200",5467
2016-01-29,"201-225",3622
2016-01-29,"226-250",3318
2016-01-29,"251-275",177
2016-01-29,"276-300",175
2016-01-29,"301-325",148
2016-01-29,"326-350",119
2016-01-29,"351-375",84
2016-01-29,"376-400",115
2016-01-29,"401-425",34
2016-01-29,"426-450",1
2016-01-29,"451-475",0
2016-01-29,"476-500",0
2016-01-29,"501-525",0
2016-01-30,"1-25",64306
2016-01-30,"26-50",117006
2016-01-30,"51-75",59003
2016-01-30,"76-100",46734
2016-01-30,"101-125",28785
2016-01-30,"126-150",18560
2016-01-30,"151-175",7456
2016-01-30,"176-200",5555
2016-01-30,"201-225",3711
2016-01-30,"226-250",3418
2016-01-30,"251-275",199
2016-01-30,"276-300",167
2016-01-30,"301-325",181
2016-01-30,"326-350",120
2016-01-30,"351-375",81
