"lvl","n"
"1-25",476048
"26-50",377662
"51-75",113315
"76-100",84757
"101-125",51739
"126-150",31980
"151-175",15468
"176-200",9851
"201-225",5312
"226-250",9339
"251-275",1397
"276-300",490
"301-325",358
"326-350",270
"351-375",158
"376-400",149
"401-425",128
"426-450",107
"451-475",84
"476-500",53
"501-525",241
